tid	season	rooftype	game_played	plays	fumbles_lost
HOU	2009	RETRACTABLE	10	637	12
HOU	2010	OUTDOOR	7	453	7
HOU	2010	RETRACTABLE	9	576	8
HOU	2011	INDOOR	1	66	0
HOU	2011	OUTDOOR	14	929	18
HOU	2011	RETRACTABLE	1	51	2
HOU	2012	OUTDOOR	14	952	11
HOU	2012	RETRACTABLE	2	138	1
HOU	2013	INDOOR	1	63	3
HOU	2013	OUTDOOR	14	959	17
HOU	2013	RETRACTABLE	1	67	1
HOU	2014	INDOOR	1	67	2
HOU	2014	OUTDOOR	14	939	17
HOU	2014	RETRACTABLE	1	56	0
IND	2002	INDOOR	8	527	11
IND	2002	OUTDOOR	7	463	14
IND	2002	RETRACTABLE	1	58	2
IND	2003	INDOOR	9	550	16
IND	2003	OUTDOOR	6	414	7
IND	2003	RETRACTABLE	1	77	2
IND	2004	INDOOR	9	552	9
IND	2004	OUTDOOR	6	351	7
IND	2004	RETRACTABLE	1	65	3
IND	2005	INDOOR	8	474	10
IND	2005	OUTDOOR	7	463	3
IND	2005	RETRACTABLE	1	63	1
IND	2006	INDOOR	8	516	7
IND	2006	OUTDOOR	7	450	5
IND	2006	RETRACTABLE	1	45	1
IND	2007	INDOOR	9	564	8
IND	2007	OUTDOOR	6	397	5
IND	2007	RETRACTABLE	1	59	1
IND	2008	INDOOR	1	63	0
IND	2008	OUTDOOR	6	359	4
IND	2008	RETRACTABLE	9	547	9
IND	2009	INDOOR	1	60	1
IND	2009	OUTDOOR	5	263	3
IND	2009	RETRACTABLE	10	657	7
IND	2010	OUTDOOR	7	482	8
IND	2010	RETRACTABLE	9	607	6
IND	2011	INDOOR	1	46	2
IND	2011	OUTDOOR	7	429	13
IND	2011	RETRACTABLE	8	476	9
IND	2012	OUTDOOR	7	464	12
IND	2012	RETRACTABLE	9	645	9
IND	2013	INDOOR	8	526	11
IND	2013	OUTDOOR	7	442	3
IND	2013	RETRACTABLE	1	55	0
IND	2014	INDOOR	8	553	19
IND	2014	OUTDOOR	7	496	11
IND	2014	RETRACTABLE	1	56	1
JAC	2002	INDOOR	1	62	1
JAC	2002	OUTDOOR	14	839	10
JAC	2002	RETRACTABLE	1	58	1
JAC	2003	INDOOR	2	116	3
JAC	2003	OUTDOOR	13	849	21
JAC	2003	RETRACTABLE	1	59	3
JAC	2004	INDOOR	2	123	5
JAC	2004	OUTDOOR	13	813	17
JAC	2004	RETRACTABLE	1	55	1
JAC	2005	INDOOR	2	120	7
JAC	2005	OUTDOOR	13	834	18
JAC	2005	RETRACTABLE	1	67	2
JAC	2006	INDOOR	1	69	0
JAC	2006	OUTDOOR	14	866	14
JAC	2006	RETRACTABLE	1	54	2
JAC	2007	INDOOR	2	121	1
JAC	2007	OUTDOOR	13	837	16
JAC	2007	RETRACTABLE	1	64	1
JAC	2008	INDOOR	1	61	0
JAC	2008	OUTDOOR	13	810	21
JAC	2008	RETRACTABLE	2	134	2
JAC	2009	OUTDOOR	14	893	25
JAC	2009	RETRACTABLE	2	117	1
JAC	2010	OUTDOOR	13	838	18
JAC	2010	RETRACTABLE	3	181	5
JAC	2011	INDOOR	1	46	3
JAC	2011	OUTDOOR	14	892	24
JAC	2011	RETRACTABLE	1	64	0
JAC	2012	INDOOR	1	75	3
JAC	2012	OUTDOOR	14	865	15
JAC	2012	RETRACTABLE	1	54	2
JAC	2013	INDOOR	2	129	4
JAC	2013	OUTDOOR	14	891	14
JAC	2014	INDOOR	1	54	2
JAC	2014	OUTDOOR	15	934	13
KC	2002	OUTDOOR	16	965	7
KC	2003	INDOOR	1	61	4
KC	2003	OUTDOOR	14	878	8
KC	2003	RETRACTABLE	1	64	1
KC	2004	INDOOR	1	71	2
KC	2004	OUTDOOR	15	1018	18
KC	2005	OUTDOOR	15	988	22
KC	2005	RETRACTABLE	1	71	1
KC	2006	INDOOR	1	49	1
KC	2006	OUTDOOR	14	892	21
KC	2006	RETRACTABLE	1	63	3
KC	2007	INDOOR	2	126	4
KC	2007	OUTDOOR	13	822	15
KC	2007	RETRACTABLE	1	53	3
KC	2008	INDOOR	1	71	2
KC	2008	OUTDOOR	15	886	18
KC	2009	OUTDOOR	16	1019	31
KC	2010	INDOOR	1	74	0
KC	2010	OUTDOOR	13	864	13
KC	2010	RETRACTABLE	2	125	2
KC	2011	OUTDOOR	14	898	13
KC	2011	RETRACTABLE	2	123	4
KC	2012	INDOOR	1	92	2
KC	2012	OUTDOOR	15	923	24
KC	2013	OUTDOOR	16	1030	21
KC	2014	OUTDOOR	15	901	21
KC	2014	RETRACTABLE	1	61	1
MIA	2002	INDOOR	2	92	4
MIA	2002	OUTDOOR	14	918	24
MIA	2003	OUTDOOR	16	968	26
MIA	2004	OUTDOOR	16	1022	42
MIA	2005	OUTDOOR	16	1026	31
MIA	2006	INDOOR	2	129	2
MIA	2006	OUTDOOR	13	847	17
MIA	2006	RETRACTABLE	1	58	0
MIA	2007	OUTDOOR	15	934	24
MIA	2007	RETRACTABLE	1	55	1
MIA	2008	INDOOR	1	59	3
MIA	2008	OUTDOOR	12	733	13
MIA	2008	RETRACTABLE	3	173	2
MIA	2009	INDOOR	1	56	3
MIA	2009	OUTDOOR	15	1032	24
MIA	2010	INDOOR	1	46	2
MIA	2010	OUTDOOR	15	994	22
MIA	2011	OUTDOOR	15	929	25
MIA	2011	RETRACTABLE	1	61	3
MIA	2012	OUTDOOR	14	849	22
MIA	2012	RETRACTABLE	2	132	3
MIA	2013	INDOOR	2	124	4
MIA	2013	OUTDOOR	14	877	12
MIA	2014	INDOOR	1	60	3
MIA	2014	OUTDOOR	15	980	24
MIN	2002	INDOOR	10	678	25
MIN	2002	OUTDOOR	6	402	15
MIN	2003	INDOOR	11	707	21
MIN	2003	OUTDOOR	5	348	10
MIN	2004	INDOOR	11	646	16
MIN	2004	OUTDOOR	4	260	4
MIN	2004	RETRACTABLE	1	79	0
MIN	2005	INDOOR	10	585	19
MIN	2005	OUTDOOR	6	360	6
MIN	2006	INDOOR	9	570	16
MIN	2006	OUTDOOR	7	455	15
MIN	2007	INDOOR	9	569	15
MIN	2007	OUTDOOR	7	395	12
MIN	2008	INDOOR	10	630	21
MIN	2008	OUTDOOR	5	320	9
MIN	2008	RETRACTABLE	1	64	1
MIN	2009	INDOOR	10	665	13
MIN	2009	OUTDOOR	5	321	6
MIN	2009	RETRACTABLE	1	68	0
MIN	2010	INDOOR	10	611	14
MIN	2010	OUTDOOR	6	371	6
MIN	2011	INDOOR	9	573	9
MIN	2011	OUTDOOR	6	351	6
MIN	2011	RETRACTABLE	1	83	5
MIN	2012	INDOOR	9	556	12
MIN	2012	OUTDOOR	5	324	7
MIN	2012	RETRACTABLE	2	121	2
MIN	2013	INDOOR	8	502	8
MIN	2013	OUTDOOR	7	443	13
MIN	2013	RETRACTABLE	1	68	2
MIN	2014	INDOOR	11	677	10
MIN	2014	OUTDOOR	5	304	1
NE	2002	INDOOR	1	68	0
